ID	U_PARENT_DATAID	DATE_LEFT	ENROLL_STATUS	GROUP_ID	PARENT_ID	REASON_LEFT
8292	6725	11/21/17	0	8332		Some Issue
8291	6725	11/23/17	0	7972		FUTURE DROPPING! 
8345	6725	11/30/17	0	7952		Why won't it unenroll
8294	6725	12/1/17	0	7952		will it unenroll? 
8346	6728	10/8/17	0	7970		Time Issue 
8347	6728	11/1/17	0	7971		New Job 
8343	6728		1	7971		
8325	6725	9/21/17	0	7975		Did not like group 
8326	6725	11/21/17	0	7976		Because Eric is testing this! 
8327	6762	11/9/17	0	7975		unknown 
8328	6762	11/12/17	0	7954		Same here 
8329	6762	11/21/17	0			2nd fix up of issues
8330	6762	11/21/17	0	7954		Beacause I could fix it
8331	6762		1	7974		
8332	6725	11/21/17	0	7970		Blank
8333	6725		1	7954		
